"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20161","03108464",33,0,"1",.,"A"
"20161","03108564",34,0,"1",.,"A"
"20161","03108754",28,0,"1",.,"A"
"20161","03108764",15,0,"1",.,"A"
"20161","03108774",14,0,"1",.,"A"
"20161","03108804",35,0,"1",30,"D"
"20161","03108824",24,0,"1",101,"D"
"20161","03108864",30,0,"1",.,"A"
"20161","03108874",49,0,"1",.,"A"
"20161","03108974",27,0,"1",.,"A"
"20161","03108994",42,0,"1",.,"A"
"20161","03109094",15,0,"1",.,"A"
"20161","03109104",31,0,"1",60,"D"
"20161","03109214",13,0,"1",.,"A"
"20161","03109264",25,0,"1",.,"A"
"20161","03109304",24,0,"1",.,"A"
"20161","03109484",25,0,"1",.,"A"
"20161","03109514",11,0,"1",.,"A"
"20161","03109524",13,0,"1",.,"A"
"20161","03109584",38,0,"1",.,"A"
"20161","03109614",15,0,"1",.,"A"
"20161","03109624",16,0,"1",.,"A"
"20161","03109634",33,0,"1",.,"A"
"20161","03109664",25,0,"1",.,"A"
"20161","03109674",26,0,"1",.,"A"
"20161","03109754",38,0,"1",.,"A"
"20161","03109764",46,0,"1",.,"A"
"20161","03109774",57,0,"1",.,"A"
"20161","03109844",23,0,"1",.,"A"
"20161","03109854",26,0,"1",.,"A"
"20161","03109884",43,0,"1",.,"A"
"20161","03109894",68,0,"1",.,"A"
"20161","03109944",26,0,"1",.,"A"
"20161","03110034",9,0,"1",.,"A"
"20161","03110044",46,0,"1",.,"A"
"20161","03110054",26,0,"1",.,"A"
"20161","03110064",50,0,"1",.,"A"
"20161","03110174",58,0,"1",.,"A"
"20161","03110194",14,0,"1",.,"A"
"20161","03110234",19,0,"1",.,"A"
"20161","03110244",21,0,"1",.,"A"
"20161","03110314",30,0,"1",.,"A"
"20161","03110364",35,0,"1",.,"A"
"20161","03110454",34,0,"1",.,"A"
"20161","03110464",20,0,"1",.,"A"
"20161","03110474",16,0,"1",.,"A"
"20161","03110504",14,0,"1",.,"A"
"20161","03110534",41,0,"1",.,"A"
"20161","03110554",34,0,"1",.,"A"
"20161","03110584",15,0,"1",.,"A"
"20161","03110684",19,0,"1",.,"A"
"20161","03110694",50,0,"1",.,"A"
"20161","03110774",23,0,"1",.,"A"
"20161","03110804",16,0,"1",.,"A"
"20161","03110824",53,0,"1",.,"A"
"20161","03110874",35,0,"1",.,"A"
"20161","03110894",33,0,"1",.,"A"
"20161","03110914",40,0,"1",.,"A"
"20161","03110924",46,0,"1",.,"A"
"20161","03110974",42,0,"1",.,"A"
"20161","03110984",20,0,"1",.,"A"
"20161","03111014",38,0,"1",.,"A"
"20161","03142104",54,0,"1",.,"A"
"20161","03142154",36,0,"1",148,"D"
"20161","03142164",34,0,"1",.,"A"
"20161","03142184",24,0,"1",.,"A"
"20161","03142194",7,0,"1",.,"A"
"20161","03142214",28,0,"1",.,"A"
"20161","03142224",21,0,"1",.,"A"
"20161","03142234",30,0,"1",.,"A"
"20161","03142244",23,0,"1",.,"A"
"20161","03142284",18,0,"1",.,"A"
"20161","03142304",46,0,"1",.,"A"
"20161","03142314",75,0,"1",.,"A"
"20161","03142334",51,0,"1",.,"A"
"20161","03142354",23,0,"1",.,"A"
"20161","03142374",20,0,"1",.,"A"
"20161","03142384",29,0,"1",.,"A"
"20161","03142414",54,0,"1",.,"A"
"20161","03142424",29,0,"1",.,"A"
"20161","03142454",16,0,"1",.,"A"
"20161","03142464",44,0,"1",.,"A"
"20161","03142524",59,0,"1",.,"A"
"20161","03142544",37,0,"1",.,"A"
"20161","03142554",34,0,"1",.,"A"
"20161","03142574",22,0,"1",.,"A"
"20161","03142584",28,0,"1",30,"D"
"20161","03142604",42,0,"1",.,"A"
"20161","03142614",49,0,"1",.,"A"
"20161","03142654",40,0,"1",.,"A"
"20161","03142694",18,0,"1",.,"A"
"20161","03142714",53,0,"1",.,"A"
"20161","03142744",18,0,"1",.,"A"
"20161","03142754",19,0,"1",.,"A"
"20161","03142794",30,0,"1",.,"A"
"20161","03142854",42,0,"1",.,"A"
"20161","03142864",72,0,"1",.,"A"
"20161","03142904",32,0,"1",.,"A"
"20161","03142914",21,0,"1",.,"A"
"20161","03142924",26,0,"1",.,"A"
"20161","03142974",19,0,"1",.,"A"
"20161","03142984",52,0,"1",.,"A"
"20161","03143014",57,0,"1",.,"A"
"20161","03143024",60,0,"1",.,"A"
"20161","03143034",42,0,"1",.,"A"
"20161","03143044",33,0,"1",.,"A"
"20161","03143064",30,0,"1",.,"A"
"20161","03143104",7,0,"1",80,"D"
"20161","03143134",10,0,"1",.,"A"
"20161","03143144",20,0,"1",.,"A"
"20161","03143164",36,0,"1",.,"A"
"20161","03143174",45,0,"1",.,"A"
"20161","03143184",38,0,"1",.,"A"
"20161","03143214",13,0,"1",.,"A"
"20161","03143294",35,0,"1",.,"A"
"20161","03143354",10,0,"1",.,"A"
"20161","03143364",46,0,"1",.,"A"
"20161","03143374",41,0,"1",.,"A"
"20161","03143384",11,0,"1",.,"A"
"20161","03143394",30,0,"1",.,"A"
"20161","03143434",15,0,"1",.,"A"
"20161","03143444",22,0,"1",.,"A"
"20161","03143504",29,0,"1",.,"A"
"20161","03143514",35,0,"1",.,"A"
"20161","03143534",81,0,"1",.,"A"
"20161","03143574",24,0,"1",20,"D"
"20161","03143584",31,0,"1",.,"A"
"20161","03143624",35,0,"1",.,"A"
"20161","03143634",29,0,"1",.,"A"
"20161","03143654",20,0,"1",.,"A"
"20161","03143684",46,0,"1",.,"A"
"20161","03143704",47,0,"1",.,"A"
"20161","03143714",15,0,"1",.,"A"
"20161","03143734",27,0,"1",.,"A"
"20161","03143744",73,0,"1",.,"A"
"20161","03143754",25,0,"1",.,"A"
"20161","03143774",35,0,"1",.,"A"
"20161","03143854",23,0,"1",.,"A"
"20161","03143864",15,0,"1",.,"A"
"20161","03143904",4,0,"1",.,"A"
"20161","03143964",22,0,"1",.,"A"
"20161","03144004",22,0,"1",.,"A"
"20161","03144014",95,0,"1",.,"A"
"20161","03144024",16,0,"1",.,"A"
"20161","03144064",46,0,"1",.,"A"
"20161","03144094",43,0,"1",.,"A"
"20161","03144104",29,0,"1",.,"A"
"20161","03144124",30,0,"1",.,"A"
"20161","03144144",43,0,"1",.,"A"
"20161","03144164",68,0,"1",.,"A"
"20161","03144174",13,0,"1",.,"A"
"20161","03144184",22,0,"1",.,"A"
"20161","03144204",14,0,"1",.,"A"
"20161","03144224",19,0,"1",.,"A"
"20161","03144234",18,0,"1",.,"A"
"20161","03144254",45,0,"1",.,"A"
"20161","03144264",24,0,"1",.,"A"
"20161","03144284",14,0,"1",.,"A"
"20161","03144294",45,0,"1",.,"A"
"20161","03144304",17,0,"1",.,"A"
"20161","03144314",23,0,"1",.,"A"
"20161","03144334",31,0,"1",.,"A"
"20161","03144384",17,0,"1",195,"D"
"20161","03144394",46,0,"1",.,"A"
"20161","03144414",23,0,"1",.,"A"
"20161","03144434",46,0,"1",.,"A"
"20161","03144444",36,0,"1",.,"A"
"20161","03144454",34,0,"1",.,"A"
"20161","03144484",26,0,"1",.,"A"
"20161","03144524",13,0,"1",.,"A"
"20161","03144554",23,0,"1",.,"A"
"20161","03144574",46,0,"1",.,"A"
"20161","03144584",87,0,"1",.,"A"
"20161","03144644",24,0,"1",.,"A"
"20161","03144664",47,0,"1",.,"A"
