"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20161","03091164",23,0,"1",975,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",845,"D",0,"D",0,"D",0,"D",78,"D",6,"D"
"20161","03091194",24,0,"1",2600,"D",650,"D",.,"A",780,"D",0,"D",.,"A",.,"A",1950,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091244",63,0,"1",1040,"D",0,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091264",33,0,"1",1300,"D",260,"D",.,"A",780,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091364",37,0,"1",2600,"D",325,"D",650,"D",650,"D",0,"D",.,"A",.,"A",2275,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091374",21,0,"1",910,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091404",29,0,"1",520,"D",130,"D",260,"D",0,"D",0,"D",.,"A",.,"A",390,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091434",67,0,"1",806,"D",0,"D",.,"A",325,"D",60,"D",.,"A",.,"A",806,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091454",30,0,"1",975,"D",325,"D",325,"D",325,"D",0,"D",780,"D",.,"A",650,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091474",55,0,"1",1950,"D",520,"D",.,"A",130,"D",60,"D",.,"A",.,"A",1430,"D",210,"D",.,"A",.,"A",104,"D",8,"D"
