"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20161","03214643",48,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03215013",38,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03215153",16,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03215263",16,0,"1","100","D","1","D","12","D",400,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03215373",36,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03215533",20,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03216243",18,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03216603",20,0,"2","100","D","4","D","11","D",.,"A",.,"A",11000,"D","2","D",.,"A","01","D"
"20161","03228283",39,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03228593",57,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03229493",30,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03229523",97,0,"1","100","D","1","D","02","D",8000,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03229653",50,0,"1","160","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","07","D"
"20161","03229653",51,0,"1","180","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","09","D"
"20161","03229653",52,0,"1","180","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","10","D"
"20161","03230384",11,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03231273",21,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03231743",23,0,"1","100","D","1","D","12","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03232003",23,0,"1","100","D","4","D","12","D",.,"A",4200,"D",.,"A","2","D",.,"A","01","D"
"20161","03232053",34,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03232243",12,0,"1","100","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03232283",12,0,"1","100","D","1","D","02","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03232293",29,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03232933",35,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03233933",27,0,"1","100","D","4","D","12","D",.,"A",1300,"F",.,"A","2","D",.,"A","04","D"
"20161","03233973",17,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03234723",45,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03236073",28,0,"1","100","D","4","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03236253",23,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20161","03237273",28,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03237343",28,0,"2","100","D","1","D","12","D",3700,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03237393",10,0,"1","100","D","5","D","01","D",.,"A",2000,"D",.,"A","2","D",.,"A","01","D"
"20161","03237503",36,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03238153",17,0,"1","110","D","1","D","12","D",3500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03248842",28,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03248882",37,0,"1","100","D","1","D","10","D",12000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03248892",23,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03249192",31,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03249312",30,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03249312",31,0,"1","150","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03249512",31,0,"1","110","D","1","D","11","D",2400,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03249542",30,0,"1","110","D","1","D","10","D",2000,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03250012",101,0,"1","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03250393",33,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03250552",38,0,"1","100","D","1","D","10","D",500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03250902",16,0,"1","100","D","1","D","10","D",610,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03251452",20,0,"1","100","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03251722",12,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03251942",12,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03252022",20,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
