"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPMOA","VOPMOA_","VOPEXPX","VOPEXPX_","VOPRMBXA","VOPR_BXA","QVOPEQPX","QVOP_QPX","VOPSERVY","VOPS_RVY","VOPLABOR","VOPL_BOR","VOPREIMB","VOPR_IMB","VPSRVY1","VPSRVY1_","VPSRVY2","VPSRVY2_","VPSRVY3","VPSRVY3_","VPSRVY4","VPSRVY4_","VPSRVY5","VPSRVY5_","VPSRVY6","VPSRVY6_","VPSRVY7","VPSRVY7_","VPSRVY8","VPSRVY8_","VPSRVY9","VPSRVY9_"
"20171","03464693",40,0,"1","12","D",40,"D",.,"A",.,"H","500","D","1","D","2","D","370","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464693",40,1,"1","12","D",.,"B",.,"A",32,"E","370","D","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464693",40,2,"1","12","D",.,"B",.,"A",8,"E","100","D","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464753",25,0,"1","01","D",50,"D",.,"A",50,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464783",25,0,"2","11","D",40,"D",.,"A",40,"D","370","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464913",22,0,"1","12","D",35,"D",.,"A",35,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464943",34,0,"1","12","D",100,"D",.,"A",100,"D","370","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464963",34,0,"1","11","D",6,"D",.,"A",6,"D","150","D","2","F","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464963",35,0,"2","11","D",54,"D",.,"A",54,"D","110","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464983",48,0,"1","11","D",16,"D",.,"A",16,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464983",49,0,"1","12","D",16,"D",.,"A",16,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03464983",50,0,"1","01","D",16,"D",.,"A",16,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465013",14,0,"1","12","D",70,"D",.,"A",70,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465013",15,0,"1","01","D",70,"D",.,"A",70,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465023",53,0,"1","12","D",189,"D",.,"A",189,"D","110","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465023",54,0,"1","12","D",150,"D",.,"A",150,"D","130","D","1","F","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465023",55,0,"1","12","D",200,"D",.,"A",200,"D","380","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465033",61,0,"1","01","D",1050,"D",.,"A",1050,"D","140","D","1","F","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465033",62,0,"1","01","D",70,"D",.,"A",70,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20171","03465033",63,0,"1","12","D",300,"D",.,"A",300,"D","380","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
