"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20163","03444811",14,0,"1","01","D","105","D","2015","D",.,"A",24,"D","06","D",325,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",325,"D",325,"D",325,"D",1,"D",1,"D",1,"D",.,"A",.,"A","D",,"A","2015","D","TOY"
"20163","03445211",12,0,"1","01","D","105","D","2015","D",.,"A",36,"D","09","D",284,"D","3","D",.,"A",15000,"D",.,"A",.,"A",,"A",284,"D",284,"D",284,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","HON"
"20163","03445551",19,0,"1","01","D","105","D","2016","D",.,"A",42,"D","04","D",275,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",275,"D",275,"D",275,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","SUB"
"20163","03445771",7,0,"1","01","D","105","D","2010","D",.,"A",72,"D","12","D",535,"D","3","D",.,"A",.,"A",500,"D",.,"A",,"A",535,"D",535,"D",535,"D",.,"A",.,"A",.,"A",500,"D",.,"A","D",,"A","2010","D","NIS"
"20163","03445991",10,0,"1","01","D","105","D","2016","D",.,"A",36,"D","08","D",997,"D","3","D",.,"A",.,"A",5000,"D",5000,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","D",,"A","2016","D","POR"
"20163","03447321",20,0,"1","01","D","105","D","2012","D",.,"A",40,"D","12","D",399,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",399,"D",399,"D",399,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","SUB"
"20163","03447941",13,0,"1","01","D","105","D","2016","D",.,"A",36,"D","04","D",1250,"D","3","D",.,"A",32000,"D",9000,"D",9000,"D",,"A",1250,"D",1250,"D",1250,"D",.,"A",.,"A",.,"A",0,"D",.,"A","D",,"A","2016","D","BMW"
"20163","03448041",7,0,"1","01","D","105","D","2015","D",.,"A",36,"D","02","D",500,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","D",,"A","2016","D","MRB"
"20163","03448701",15,0,"1","01","D","105","D","2014","D",.,"A",36,"D","02","D",270,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",270,"D",270,"D",270,"D",25,"D",25,"D",25,"D",.,"A",.,"A","D",,"A","2015","D","HYU"
"20163","03448931",8,0,"1","01","D","105","D","2014","D",.,"A",48,"D","05","D",400,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2015","D","FOR"
