"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_","IMPNUM"
"02792115","01","2015","800940","2",518,,"5"
"02792115","11","2014","900000","2",2135.5833,,"1"
"02792115","11","2014","900000","2",8650.8333,,"2"
"02792115","11","2014","900000","2",1256.75,,"3"
"02792115","11","2014","900000","2",1610.6667,,"4"
"02792115","11","2014","900000","2",2571.25,,"5"
"02792115","12","2014","900000","2",2135.5833,,"1"
"02792115","12","2014","900000","2",8650.8333,,"2"
"02792115","12","2014","900000","2",1256.75,,"3"
"02792115","12","2014","900000","2",1610.6667,,"4"
"02792115","12","2014","900000","2",2571.25,,"5"
"02792115","01","2015","900000","2",2135.5833,,"1"
"02792115","01","2015","900000","2",8650.8333,,"2"
"02792115","01","2015","900000","2",1256.75,,"3"
"02792115","01","2015","900000","2",1610.6667,,"4"
"02792115","01","2015","900000","2",2571.25,,"5"
"02792115","11","2014","900030","2",394.8333,,"1"
"02792115","11","2014","900030","2",914.8333,,"2"
"02792115","11","2014","900030","2",733.8333,,"3"
"02792115","11","2014","900030","2",677.8333,,"4"
"02792115","11","2014","900030","2",781.8333,,"5"
"02792115","12","2014","900030","2",394.8333,,"1"
"02792115","12","2014","900030","2",914.8333,,"2"
"02792115","12","2014","900030","2",733.8333,,"3"
"02792115","12","2014","900030","2",677.8333,,"4"
"02792115","12","2014","900030","2",781.8333,,"5"
"02792115","01","2015","900030","2",394.8333,,"1"
"02792115","01","2015","900030","2",914.8333,,"2"
"02792115","01","2015","900030","2",733.8333,,"3"
"02792115","01","2015","900030","2",677.8333,,"4"
"02792115","01","2015","900030","2",781.8333,,"5"
"02792115","11","2014","900160","2",1274.4167,,"1"
"02792115","11","2014","900160","2",-2100.75,,"2"
"02792115","11","2014","900160","2",266.6667,,"3"
"02792115","11","2014","900160","2",1004.1667,,"4"
"02792115","11","2014","900160","2",2100.3333,,"5"
"02792115","12","2014","900160","2",1274.4167,,"1"
"02792115","12","2014","900160","2",-2100.75,,"2"
"02792115","12","2014","900160","2",266.6667,,"3"
"02792115","12","2014","900160","2",1004.1667,,"4"
"02792115","12","2014","900160","2",2100.3333,,"5"
"02792115","01","2015","900160","2",1274.4167,,"1"
"02792115","01","2015","900160","2",-2100.75,,"2"
"02792115","01","2015","900160","2",266.6667,,"3"
"02792115","01","2015","900160","2",1004.1667,,"4"
"02792115","01","2015","900160","2",2100.3333,,"5"
"02792115","11","2014","980000","2",3804.8333,,"1"
"02792115","11","2014","980000","2",7464.9167,,"2"
"02792115","11","2014","980000","2",2257.25,,"3"
"02792115","11","2014","980000","2",3292.6667,,"4"
"02792115","11","2014","980000","2",5453.4167,,"5"
"02792115","12","2014","980000","2",3804.8333,,"1"
"02792115","12","2014","980000","2",7464.9167,,"2"
"02792115","12","2014","980000","2",2257.25,,"3"
"02792115","12","2014","980000","2",3292.6667,,"4"
"02792115","12","2014","980000","2",5453.4167,,"5"
