QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_,AGE_SEXA,AGE__EXA,CLOGFTA,CLOGFTA_,CLOTHA1,CLOTHA1_,CLOTHA2,CLOTHA2_,CLOTHA3,CLOTHA3_,CLOTHA4,CLOTHA4_,CLOTHA5,CLOTHA5_,CLOTHA6,CLOTHA6_,CLOTHA7,CLOTHA7_,CLOTHA8,CLOTHA8_,CLOTHA9,CLAPURCH,CLOTHA9_,AGESEX1,AGESEX1_,AGESEX2,AGESEX2_,AGESEX3,AGESEX3_,AGESEX4,AGESEX4_,AGESEX5,AGESEX5_,AGESEX6,AGESEX6_
20171,03387154,4,0,1,280,D,10,D,75,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387164,1,0,1,100,D,12,D,213,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387164,2,0,1,145,D,10,D,170,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387164,3,0,1,150,D,10,D,106,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387194,1,0,1,150,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387194,1,100,1,150,D,12,D,34,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387194,1,200,1,150,D,12,D,16,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387224,1,0,1,145,D,11,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387304,1,0,1,275,D,12,D,,H,2,D,2,D,150,D,145,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387304,1,1,1,150,D,12,D,205,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387304,1,2,1,145,D,12,D,45,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387304,2,0,1,270,D,12,D,,H,1,D,2,D,200,D,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387304,2,1,1,200,D,12,D,129,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387304,2,2,1,150,D,12,D,121,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387314,3,0,1,280,D,12,D,240,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387344,2,0,1,900,D,12,D,,H,3,D,1,D,145,D,150,D,170,D,220,D,280,D,100,D,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387344,2,1,1,145,D,12,D,244,E,3,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387344,2,2,1,150,D,12,D,18,E,3,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387344,2,3,1,280,D,12,D,81,E,3,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387344,2,4,1,100,D,12,D,57,E,3,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387354,2,0,1,150,D,11,D,20,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387404,1,0,1,170,D,11,D,300,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,3,0,1,100,D,12,D,150,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,4,0,1,100,D,12,D,280,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,5,0,1,145,D,12,D,50,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,6,0,1,145,D,12,D,100,D,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,7,0,1,145,D,12,D,200,D,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,8,0,1,150,D,12,D,50,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,9,0,1,150,D,12,D,80,D,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,10,0,1,180,D,12,D,80,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,11,0,1,170,D,12,D,150,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,12,0,1,170,D,12,D,80,D,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,13,0,1,200,D,12,D,12,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,14,0,1,200,D,12,D,50,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,15,0,1,210,D,12,D,30,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,16,0,1,210,D,12,D,20,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,17,0,1,210,D,12,D,15,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,18,0,1,280,D,12,D,20,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,19,0,1,280,D,12,D,140,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,20,0,1,280,D,12,D,75,D,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387424,21,0,1,380,D,12,D,300,D,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387444,6,0,1,200,D,12,D,16,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387444,7,0,1,145,D,12,D,20,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387444,8,0,1,280,D,11,D,60,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,0,1,275,D,11,D,,H,,B,2,D,150,D,145,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,101,1,150,D,11,D,13,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,102,1,145,D,11,D,9,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,201,1,150,D,11,D,13,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,202,1,145,D,11,D,8,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,301,1,150,D,11,D,6,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,2,302,1,145,D,11,D,11,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387514,3,0,1,310,D,13,D,100,D,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387574,1,0,1,150,D,11,D,100,D,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387574,2,0,1,200,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387574,2,100,1,200,D,12,D,43,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387574,2,200,1,200,D,12,D,40,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387574,2,300,1,200,D,12,D,67,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387584,4,0,1,145,D,12,D,200,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387584,5,0,1,150,D,12,D,600,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,1,0,1,145,D,12,D,75,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,2,0,1,145,D,12,D,110,D,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,3,0,1,150,D,12,D,125,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,4,0,1,150,D,12,D,90,D,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,5,0,2,145,D,10,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,5,200,2,145,D,10,D,54,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,5,300,2,145,D,10,D,46,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,6,0,2,150,D,10,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,6,200,2,150,D,10,D,33,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,6,300,2,150,D,10,D,27,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,7,0,2,210,D,10,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387594,7,200,2,210,D,10,D,28,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
