file_path,inferred_type,size_bytes,structure
Demand Elasticity/intrvw13/intrvw13/itii134.csv,csv,24636400,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw13/intrvw13/itii141.csv,csv,26307424,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw13/intrvw13/memi131x.csv,csv,10242071,columns=202:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw13/intrvw13/memi132.csv,csv,9920704,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw13/intrvw13/memi133.csv,csv,9543295,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw13/intrvw13/memi134.csv,csv,8795229,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw13/intrvw13/memi141.csv,csv,9473295,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw13/intrvw13/mtbi131x.csv,csv,40178358,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw13/intrvw13/mtbi132.csv,csv,35192473,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw13/intrvw13/mtbi133.csv,csv,34244453,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw13/intrvw13/mtbi134.csv,csv,31433891,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw13/intrvw13/mtbi141.csv,csv,34174858,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw13/intrvw13/ntaxi132.csv,csv,2537900,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
