"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20132",2551565,56,0,"1",2600,"D",520,"D",.,"A",3380,"D",0,"D",.,"A",.,"A",.,"A",2080,"D",,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551585,30,0,"1",1040,"D",325,"D",.,"A",325,"D",60,"D",.,"A",.,"A",.,"A",715,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551595,33,0,"1",3900,"D",357,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1591,"F",,"A",.,"A",8,"D",104,"D",.,"A",.,"A"
"20132",2551605,22,0,"1",1625,"D",130,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1495,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551635,14,0,"1",520,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",455,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551655,29,0,"1",780,"D",0,"D",195,"D",1300,"D",.,"A",.,"A",.,"A",.,"A",780,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551665,36,0,"1",650,"D",167,"F",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",625,"F",,"A",12,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551695,35,0,"1",637,"D",65,"D",.,"A",104,"D",.,"A",.,"A",.,"A",.,"A",572,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551715,28,0,"1",780,"D",130,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",650,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551725,43,0,"1",1690,"D",260,"D",390,"D",260,"D",150,"D",.,"A",.,"A",90,"D",1430,"D",,"A",225,"D",.,"A",.,"A",.,"A",.,"A"
