"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2551224,60,0,"1","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2551894,37,0,"1","110","D","1","D","10","D",1900,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2553194,48,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20131",2553194,49,0,"1","150","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2553544,53,0,"1","110","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2554064,46,0,"1","150","D","1","D","10","D",200,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2554204,20,0,"1","110","D","1","D","11","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2554354,44,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2554354,45,0,"1","170","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2556144,35,0,"2","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2556174,34,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20131",2556344,37,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2556514,34,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2556804,36,0,"1","100","D","4","D","11","D",.,"A",50,"D",.,"A","2","D",.,"A","04","D"
"20131",2556874,36,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2556874,37,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2557214,55,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2557414,50,0,"1","100","D","1","D","01","D",150,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2557494,62,0,"1","100","D","4","D","12","D",.,"A",6300,"D",.,"A","2","D",.,"A","01","D"
"20131",2557694,18,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
