"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","NTRTPUR","NTRTPUR_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","QADNTR1X","QADN_R1X","QADNTR2X","QADN_R2X","QADNTR3X","QADN_R3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","TELVOP1X","TELV_P1X","TELVOP2X","TELV_P2X","TELVOP3X","TELV_P3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20133",2674563,28,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",25,"D",25,"D",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674583,47,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",,"A",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",48,"F",48,"F",48,"F",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D"
"20133",2674593,46,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",158,"D",158,"D",158,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674593,47,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",60,"D",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674633,41,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",,"A",40,"F",40,"F",40,"F",100,"F",100,"F",100,"F",.,"A",.,"A",.,"A",85,"F",85,"F",85,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674643,40,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",130,"D",130,"D",130,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674643,41,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",78,"D",78,"D",78,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674713,50,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",,"A",40,"D",40,"D",40,"D",66,"D",66,"D",66,"D",.,"A",.,"A",.,"A",49,"F",49,"F",49,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674753,50,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",,"A",50,"D",50,"D",50,"D",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",50,"F",50,"F",50,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674773,22,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",236,"D",236,"D",245,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
