"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","UTILY","UTILY_","WHATPROP","WHAT_ROP","BLPERIOD","BLPE_IOD","QFUELADZ","QFUE_ADZ","UTLPTYPE","UTLP_YPE","UTIL1","UTIL1_","UTIL2","UTIL2_","UTIL3","UTIL3_","UTIL4","UTIL4_","UTIL5","UTIL5_","UTIL6","UTIL6_","UTIL7","UTIL7_","UTIL8","UTIL8_","UTIL9","UTIL9_","QADFUL1X","QADF_L1X","QADFUL2X","QADF_L2X","QADFUL3X","QADF_L3X"
"20134",2680184,51,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",41,"D",75,"D",67,"D"
"20134",2680184,52,0,"1","110","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",45,"D",26,"D",22,"D"
"20134",2680184,53,0,"1","205","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",26,"D",26,"D",26,"D"
"20134",2680194,38,0,"1","310","D","01","D",,"A",1,"D","1","D","205","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20134",2680194,38,5,"1","100","D","01","D",,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",81,"E",81,"E",79,"E"
"20134",2680194,38,6,"1","205","D","01","D",,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",32,"E",32,"E",34,"E"
"20134",2680194,39,0,"1","110","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",16,"D",80,"D",80,"D"
"20134",2680204,24,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",220,"D",220,"D",220,"D"
"20134",2680204,25,0,"1","205","D","01","D","3","D",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",145,"D",0,"D",0,"D"
"20134",2680283,50,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",138,"D",177,"D",178,"D"
