"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20131",2565944,38,0,"1",300,"D",.,"A",.,"A"
"20131",2566235,37,0,"1",20,"D",.,"A",.,"A"
"20131",2566264,47,0,"1",20,"D",.,"A",.,"A"
"20131",2566784,32,0,"1",40,"D",.,"A",.,"A"
"20131",2566854,30,0,"1",.,"A",.,"A",0,"D"
"20131",2566864,46,0,"1",0,"D",.,"A",.,"A"
"20131",2567114,71,0,"1",.,"A",.,"A",500,"D"
"20131",2567424,52,0,"1",.,"A",.,"A",100,"D"
"20131",2568294,28,0,"1",45,"D",.,"A",.,"A"
"20131",2569144,27,0,"1",.,"A",.,"A",60,"D"
"20131",2569644,50,0,"1",.,"A",.,"A",150,"D"
"20131",2569654,62,0,"1",.,"A",.,"A",117,"D"
"20131",2570264,21,0,"1",45,"D",.,"A",.,"A"
"20131",2570884,85,0,"1",.,"A",.,"A",50,"D"
"20131",2572024,26,0,"1",140,"D",.,"A",.,"A"
"20131",2572184,36,0,"1",100,"D",.,"A",.,"A"
"20131",2572284,63,0,"1",33,"D",.,"A",.,"A"
"20131",2572714,34,0,"1",.,"A",.,"A",90,"D"
"20131",2572794,70,0,"1",.,"A",.,"A",20,"D"
"20131",2573174,54,0,"1",.,"A",.,"A",60,"D"
"20131",2573274,19,0,"1",.,"A",.,"A",75,"D"
"20131",2573534,116,0,"1",20,"D",.,"A",130,"D"
"20131",2573794,24,0,"1",.,"A",.,"A",35,"D"
"20131",2574014,62,0,"1",80,"D",.,"A",.,"A"
"20131",2574164,17,0,"1",.,"A",.,"A",150,"D"
"20131",2574284,36,0,"1",80,"D",.,"A",.,"A"
"20131",2574384,33,0,"1",60,"D",.,"A",.,"A"
"20131",2575074,30,0,"1",10,"D",.,"A",.,"A"
"20131",2576424,28,0,"1",.,"A",.,"A",114,"D"
"20131",2576704,57,0,"1",35,"D",.,"A",.,"A"
"20131",2577414,26,0,"1",55,"D",.,"A",.,"A"
"20131",2577524,24,0,"1",20,"D",.,"A",50,"D"
"20131",2577884,51,0,"1",20,"D",.,"A",.,"A"
"20131",2578274,68,0,"1",.,"A",.,"A",50,"D"
"20131",2578354,35,0,"1",.,"A",.,"A",100,"D"
"20131",2580083,43,0,"1",300,"D",.,"A",.,"A"
"20131",2580293,28,0,"1",.,"A",.,"A",0,"D"
"20131",2580633,29,0,"1",.,"A",.,"A",150,"D"
"20131",2580683,41,0,"1",20,"D",.,"A",.,"A"
"20131",2580763,42,0,"1",64,"D",.,"A",.,"A"
"20131",2580953,32,0,"1",0,"D",.,"A",.,"A"
"20131",2581263,76,0,"1",.,"A",.,"A",90,"D"
"20131",2582283,78,0,"1",.,"A",.,"A",20,"D"
"20131",2583403,30,0,"1",30,"D",.,"A",.,"A"
"20131",2583563,36,0,"1",10,"D",.,"A",.,"A"
"20131",2583653,46,0,"1",0,"D",.,"A",.,"A"
"20131",2583883,35,0,"1",36,"D",.,"A",.,"A"
"20131",2584083,59,0,"1",25,"D",.,"A",.,"A"
"20131",2584413,62,0,"1",.,"A",.,"A",150,"D"
"20131",2584753,43,0,"1",120,"D",.,"A",.,"A"
"20131",2584973,28,0,"1",24,"D",.,"A",.,"A"
"20131",2585063,81,0,"1",40,"D",.,"A",.,"A"
"20131",2585393,34,0,"1",20,"D",.,"A",.,"A"
"20131",2585473,48,0,"1",.,"A",.,"A",150,"D"
"20131",2585533,42,0,"1",60,"D",.,"A",.,"A"
"20131",2586003,64,0,"1",.,"A",.,"A",20,"D"
"20131",2586583,93,0,"1",20,"D",.,"A",220,"D"
"20131",2586603,52,0,"1",.,"A",.,"A",30,"D"
"20131",2586853,32,0,"1",.,"A",.,"A",20,"D"
"20131",2587663,50,0,"1",.,"A",.,"A",90,"D"
"20131",2587913,54,0,"1",100,"D",.,"A",.,"A"
"20131",2588125,35,0,"1",12,"D",.,"A",.,"A"
"20131",2588313,63,0,"1",50,"D",.,"A",.,"A"
"20131",2588463,19,0,"1",.,"A",.,"A",10,"D"
"20131",2589043,36,0,"1",.,"A",.,"A",105,"D"
"20131",2589763,38,0,"1",15,"D",.,"A",.,"A"
"20131",2589813,33,0,"1",.,"A",.,"A",30,"D"
"20131",2590113,28,0,"1",.,"A",.,"A",40,"D"
"20131",2590213,29,0,"1",.,"A",.,"A",135,"D"
"20131",2590463,52,0,"1",30,"D",.,"A",.,"A"
"20131",2590553,24,0,"1",5,"D",.,"A",.,"A"
"20131",2590563,87,0,"1",.,"A",.,"A",50,"D"
"20131",2590823,25,0,"1",.,"A",.,"A",1,"D"
"20131",2591273,55,0,"1",10,"D",.,"A",.,"A"
"20131",2591473,44,0,"1",.,"A",.,"A",70,"D"
"20131",2593303,61,0,"1",40,"D",.,"A",.,"A"
"20131",2593633,20,0,"1",.,"A",.,"A",180,"D"
"20131",2594093,84,0,"1",80,"D",.,"A",.,"A"
"20131",2594233,29,0,"1",10,"D",.,"A",.,"A"
"20131",2594395,32,0,"1",.,"A",.,"A",90,"D"
"20131",2594663,40,0,"1",100,"D",.,"A",.,"A"
"20131",2595373,17,0,"1",.,"A",.,"A",0,"D"
"20131",2595503,50,0,"1",20,"D",.,"A",.,"A"
"20131",2595513,62,0,"1",.,"A",.,"A",180,"D"
"20131",2595803,21,0,"1",.,"A",.,"A",6,"D"
"20131",2595843,44,0,"1",20,"D",.,"A",0,"D"
"20131",2595973,43,0,"1",.,"A",.,"A",150,"D"
"20131",2596263,32,0,"1",20,"D",.,"A",.,"A"
"20131",2596333,56,0,"1",.,"A",.,"A",107,"D"
"20131",2596603,36,0,"1",130,"D",.,"A",.,"A"
"20131",2596643,23,0,"1",.,"A",.,"A",.,"A"
"20131",2596853,68,0,"1",250,"D",.,"A",.,"A"
"20131",2596873,26,0,"1",.,"A",.,"A",90,"D"
"20131",2597163,82,0,"1",60,"D",.,"A",.,"A"
"20131",2597963,37,0,"1",60,"D",.,"A",.,"A"
"20131",2598453,43,0,"1",.,"A",.,"A",186,"D"
"20131",2598513,34,0,"1",.,"A",.,"A",0,"D"
"20131",2598783,30,0,"1",.,"A",.,"A",200,"D"
"20131",2598833,30,0,"1",.,"A",.,"A",150,"D"
"20131",2598903,35,0,"1",.,"A",1,"D",.,"A"
"20131",2598973,33,0,"1",.,"A",.,"A",400,"D"
"20131",2599303,27,0,"1",20,"D",.,"A",.,"A"
"20131",2599403,57,0,"1",.,"A",.,"A",200,"D"
"20131",2599503,39,0,"1",40,"D",.,"A",.,"A"
"20131",2599753,26,0,"1",10,"D",.,"A",.,"A"
"20131",2600603,37,0,"1",10,"D",.,"A",.,"A"
"20131",2600843,31,0,"1",90,"D",.,"A",.,"A"
"20131",2601283,41,0,"1",.,"A",.,"A",.,"A"
"20131",2601435,29,0,"1",0,"D",.,"A",.,"A"
"20131",2601573,48,0,"1",.,"A",.,"A",21,"D"
"20131",2601703,52,0,"1",.,"A",.,"A",22,"D"
"20131",2602374,65,0,"1",.,"A",.,"A",200,"D"
"20131",2602813,46,0,"1",90,"D",.,"A",.,"A"
"20131",2602943,46,0,"1",.,"A",.,"A",100,"D"
"20131",2603473,23,0,"1",.,"A",.,"A",.,"A"
"20131",2603563,31,0,"1",.,"A",.,"A",150,"D"
"20131",2603613,30,0,"1",.,"A",.,"A",5,"D"
"20131",2603703,68,0,"1",50,"D",100,"D",.,"A"
"20131",2603863,28,0,"1",135,"D",.,"A",.,"A"
"20131",2604143,27,0,"1",55,"D",.,"A",150,"D"
"20131",2604823,64,0,"1",.,"A",.,"A",25,"D"
"20131",2604993,28,0,"1",.,"A",.,"A",135,"D"
"20131",2605163,20,0,"1",15,"D",.,"A",.,"A"
"20131",2605483,22,0,"1",.,"A",.,"A",0,"D"
"20131",2605883,34,0,"1",.,"A",.,"A",165,"D"
"20131",2606353,23,0,"1",120,"D",.,"A",.,"A"
"20131",2607103,43,0,"1",.,"A",.,"A",50,"D"
"20131",2607773,35,0,"1",0,"D",5,"D",.,"A"
"20131",2607813,69,0,"1",25,"D",.,"A",.,"A"
"20131",2607873,26,0,"1",.,"A",.,"A",150,"D"
"20131",2608063,51,0,"1",.,"A",.,"A",150,"D"
"20131",2608503,67,0,"1",10,"D",.,"A",.,"A"
"20131",2608553,56,0,"1",30,"D",.,"A",.,"A"
"20131",2608683,30,0,"1",60,"D",.,"A",.,"A"
"20131",2608703,56,0,"1",42,"D",.,"A",.,"A"
"20131",2608714,26,0,"1",60,"D",.,"A",.,"A"
"20131",2609153,60,0,"1",.,"A",.,"A",30,"D"
"20131",2609183,39,0,"1",30,"D",.,"A",.,"A"
"20131",2609623,34,0,"1",100,"D",.,"A",0,"D"
"20131",2609683,42,0,"1",60,"D",.,"A",.,"A"
"20131",2609883,26,0,"1",.,"A",.,"A",150,"D"
"20131",2610163,23,0,"1",.,"A",.,"A",135,"D"
"20131",2610363,29,0,"1",.,"A",.,"A",159,"D"
"20131",2610993,76,0,"1",.,"A",.,"A",100,"D"
"20131",2611953,49,0,"1",80,"D",.,"A",.,"A"
"20131",2613002,35,0,"1",10,"D",.,"A",.,"A"
"20131",2613012,35,0,"1",60,"D",.,"A",.,"A"
"20131",2613193,46,0,"1",35,"D",.,"A",.,"A"
"20131",2613842,58,0,"1",.,"A",.,"A",60,"D"
"20131",2614362,42,0,"1",80,"D",.,"A",.,"A"
"20131",2614662,66,0,"1",.,"A",.,"A",20,"D"
"20131",2616082,59,0,"1",10,"D",.,"A",.,"A"
"20131",2616172,46,0,"1",.,"A",.,"A",30,"D"
"20131",2616532,40,0,"1",.,"A",.,"A",62,"D"
"20131",2616552,41,0,"1",55,"D",.,"A",.,"A"
"20131",2616582,20,0,"1",.,"A",.,"A",120,"D"
"20131",2616662,51,0,"1",.,"A",.,"A",0,"D"
"20131",2617222,56,0,"1",50,"D",.,"A",.,"A"
"20131",2617232,36,0,"1",200,"D",.,"A",.,"A"
"20131",2617402,52,0,"1",.,"A",.,"A",0,"D"
"20131",2617962,36,0,"1",.,"A",.,"A",0,"D"
"20131",2618172,33,0,"1",25,"D",.,"A",.,"A"
"20131",2618182,30,0,"1",90,"D",.,"A",.,"A"
"20131",2618542,59,0,"1",.,"A",.,"A",90,"D"
"20131",2618592,28,0,"1",.,"A",.,"A",100,"D"
"20131",2618992,66,0,"1",0,"D",.,"A",.,"A"
"20131",2619112,46,0,"1",.,"A",.,"A",20,"D"
"20131",2619274,24,0,"1",.,"A",.,"A",100,"D"
