"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2518405,35,0,"1","840","D","1","D",50,"D",.,"A",,"A"
"20131",2518455,53,0,"1","830","D","1","D",100,"D",.,"A",,"A"
"20131",2518455,54,0,"1","820","D","1","D",35,"D",.,"A",,"A"
"20131",2518545,32,0,"1","150","D","1","D",300,"D",.,"A",,"A"
"20131",2518805,55,0,"1","830","D","1","D",132,"D",.,"A",,"A"
"20131",2518835,71,0,"1","150","D","1","D",120,"D",.,"A",,"A"
"20131",2518835,72,0,"1","150","D","1","D",14,"D",.,"A",,"A"
"20131",2518835,73,0,"1","820","D","1","D",75,"D",.,"A",,"A"
"20131",2518835,74,0,"1","840","D","1","D",55,"D",.,"A",,"A"
"20131",2518935,43,0,"1","150","D","1","D",35,"D",.,"A",,"A"
"20131",2518945,71,0,"1","810","D","1","D",35,"D",.,"A",,"A"
"20131",2518945,72,0,"1","840","D","1","D",38,"D",.,"A",,"A"
"20131",2518975,57,0,"1","150","D","1","D",54,"D",.,"A",,"A"
"20131",2518975,58,0,"1","600","D","1","D",1400,"D",.,"A",,"A"
"20131",2519085,40,0,"1","840","D","1","D",40,"D",.,"A",,"A"
"20131",2519205,58,0,"1","830","D","1","D",30,"D",.,"A",,"A"
"20131",2519235,53,0,"1","150","D","1","D",24,"D",.,"A",,"A"
"20131",2519255,28,0,"1","830","D","1","D",0,"D",.,"A",,"A"
"20131",2519265,54,0,"1","840","D","1","D",40,"D",.,"A",,"A"
"20131",2519465,38,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2519475,53,0,"1","830","D","1","D",75,"D",.,"A",,"A"
"20131",2519505,52,0,"1","200","D","1","D",12,"D",.,"A",,"A"
"20131",2519505,53,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2519595,43,0,"1","840","D","1","D",9,"D",.,"A",,"A"
"20131",2519685,43,0,"1","830","D","1","D",75,"D",.,"A",,"A"
"20131",2519725,24,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2519875,61,0,"1","150","D","1","D",90,"D",.,"A",,"A"
"20131",2519885,44,0,"1","830","D","1","D",210,"D",.,"A",,"A"
"20131",2519935,68,0,"1","150","D","1","D",52,"D",.,"A",,"A"
"20131",2519935,69,0,"1","830","D","1","D",245,"D",.,"A",,"A"
"20131",2520025,101,0,"1","150","D","1","D",100,"D",.,"A",,"A"
"20131",2520025,102,0,"1","150","D","2","D",0,"D",.,"A",,"A"
"20131",2520115,62,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2520115,63,0,"1","830","D","1","D",30,"D",.,"A",,"A"
"20131",2520135,33,0,"1","830","D","1","D",0,"D",.,"A",,"A"
"20131",2520165,41,0,"1","150","D","1","D",14,"D",.,"A",,"A"
