"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_","TICPURCH"
"20161","03097644",19,0,"1","610","D","1","D",56,"D","10","D",
"20161","03097644",20,0,"1","610","D","1","D",52,"D","11","D",
"20161","03097644",21,0,"1","160","D","1","D",4,"D","12","D",
"20161","03097644",22,0,"1","340","D","1","D",18,"D","12","D",
"20161","03097644",23,0,"1","340","D","1","D",30,"F","11","D",
"20161","03097694",16,0,"1","150","D","1","D",75,"D","12","D",
"20161","03097694",17,0,"1","150","D","1","D",75,"D","11","D",
"20161","03097694",18,0,"1","150","D","1","D",75,"D","10","D",
"20161","03097814",23,0,"1","160","D","1","D",25,"D","12","D",
"20161","03097834",59,0,"1","600","D","1","D",100,"D","10","D",
"20161","03097834",60,0,"1","210","D","1","D",50,"D","12","D",
"20161","03097834",61,0,"1","360","D","1","D",10,"D","13","D",
"20161","03097834",62,0,"1","360","D","1","D",16,"D","12","D",
"20161","03097834",63,0,"1","360","D","1","D",20,"D","13","D",
"20161","03097884",22,0,"1","210","D","1","D",20,"D","11","D",
"20161","03098014",8,0,"1","350","D","1","D",5,"D","13","D",
"20161","03098114",30,0,"1","830","D","1","D",40,"D","13","D",
"20161","03098114",31,0,"1","360","D","1","D",12,"D","13","D",
"20161","03098264",60,0,"1","150","D","1","D",44,"D","11","D",
"20161","03098264",61,0,"1","210","D","1","D",75,"D","11","D",
"20161","03098264",62,0,"1","210","D","1","D",12,"D","12","D",
"20161","03098374",27,0,"1","610","D","1","D",90,"D","11","D",
"20161","03098374",28,0,"1","610","D","1","D",40,"D","12","D",
"20161","03098374",29,0,"1","510","D","1","D",60,"D","11","D",
"20161","03098374",30,0,"1","510","D","1","D",60,"D","12","D",
"20161","03098374",31,0,"1","360","D","1","D",12,"D","13","D",
"20161","03098374",32,0,"2","610","D","1","D",40,"D","10","D",
"20161","03098404",10,0,"1","360","D","1","D",8,"D","13","D",
"20161","03098424",21,0,"1","810","D","1","D",25,"D","11","D",
"20161","03098564",23,0,"1","360","D","1","D",8,"D","13","D",
"20161","03098604",39,0,"1","210","D","1","D",225,"D","12","D",
"20161","03098604",40,0,"1","600","D","1","D",300,"D","12","D",
"20161","03098604",41,0,"1","330","D","1","D",10,"D","13","D",
"20161","03098604",42,0,"1","360","D","1","D",18,"D","13","D",
"20161","03098604",43,0,"2","320","D","1","D",12,"D","10","D",
"20161","03098684",18,0,"1","840","D","1","D",45,"D","10","D",
"20161","03098684",19,0,"1","160","D","1","D",1,"D","10","D",
"20161","03098764",36,0,"1","600","D","1","D",120,"D","12","D",
"20161","03098764",37,0,"1","510","D","1","D",36,"D","10","D",
"20161","03098764",38,0,"1","510","D","1","D",25,"D","12","D",
"20161","03098924",15,0,"1","830","D","1","D",40,"D","13","D",
"20161","03098924",16,0,"1","360","D","1","D",9,"D","13","D",
"20161","03099044",29,0,"1","610","D","1","D",50,"D","11","D",
"20161","03099074",18,0,"1","510","D","1","D",130,"D","12","D",
"20161","03099104",23,0,"2","160","D","1","D",29,"D","10","D",
"20161","03099144",42,0,"1","840","D","1","D",100,"D","11","D",
"20161","03099164",43,0,"1","610","D","1","D",104,"D","12","D",
"20161","03099164",44,0,"1","210","D","1","D",30,"D","12","D",
"20161","03099164",45,0,"1","350","D","1","D",5,"D","12","D",
"20161","03099164",46,0,"1","370","D","1","D",85,"D","12","D",
"20161","03099164",47,0,"2","500","D","1","D",15,"D","10","D",
"20161","03099164",48,0,"2","370","D","1","D",60,"D","10","D",
"20161","03099384",73,0,"1","610","D","1","D",59,"D","12","D",
"20161","03099384",74,0,"1","510","D","1","D",45,"D","11","D",
"20161","03099384",75,0,"1","500","D","1","D",50,"D","11","D",
"20161","03099384",76,0,"1","160","D","1","D",4,"D","11","D",
"20161","03099384",77,0,"1","210","D","1","D",10,"D","12","D",
"20161","03099384",78,0,"1","320","D","1","D",10,"D","12","D",
"20161","03099384",79,0,"1","350","D","1","D",9,"D","13","D",
"20161","03099384",80,0,"1","370","D","1","D",8,"D","12","D",
"20161","03099384",81,0,"2","510","D","1","D",25,"D","10","D",
"20161","03099384",82,0,"2","340","D","1","D",9,"D","10","D",
"20161","03099424",60,0,"1","500","D","1","D",36,"D","11","D",
"20161","03099424",61,0,"1","160","D","1","D",22,"D","10","D",
"20161","03099424",62,0,"1","160","D","1","D",22,"D","11","D",
"20161","03099424",63,0,"1","160","D","1","D",22,"D","12","D",
"20161","03099564",24,0,"1","840","D","1","D",45,"D","11","D",
"20161","03099844",86,0,"1","510","D","1","D",40,"D","12","D",
"20161","03099844",87,0,"1","150","D","1","D",39,"D","12","D",
"20161","03099844",88,0,"1","210","D","1","D",5,"D","10","D",
"20161","03099844",89,0,"1","210","D","1","D",10,"D","11","D",
"20161","03099844",90,0,"1","210","D","1","D",15,"D","12","D",
"20161","03099844",91,0,"1","320","D","1","D",30,"D","12","D",
"20161","03099844",92,0,"2","210","D","1","D",10,"D","10","D",
"20161","03099964",23,0,"1","510","D","1","D",50,"D","12","D",
"20161","03099964",24,0,"1","310","D","1","D",30,"D","12","D",
"20161","03100044",26,0,"1","840","D","1","D",40,"D","12","D",
"20161","03100044",27,0,"1","210","D","1","D",50,"D","12","D",
"20161","03100044",28,0,"1","510","D","1","D",20,"D","12","D",
"20161","03100044",29,0,"1","340","D","2","D",50,"D","12","D",
"20161","03100054",37,0,"1","360","D","1","D",19,"D","13","D",
"20161","03100174",40,0,"1","600","D","1","D",200,"D","11","D",
"20161","03100174",41,0,"1","160","D","1","D",7,"D","12","D",
"20161","03100174",42,0,"2","510","D","1","D",100,"D","10","D",
"20161","03100194",45,0,"1","210","D","1","D",50,"D","12","D",
"20161","03100194",46,0,"1","340","D","1","D",30,"D","12","D",
"20161","03100194",47,0,"1","350","D","1","D",15,"D","12","D",
"20161","03100194",48,0,"1","370","D","1","D",120,"D","12","D",
"20161","03100194",49,0,"1","410","D","1","D",35,"D","12","D",
"20161","03100274",16,0,"1","360","D","1","D",15,"D","10","D",
"20161","03100274",17,0,"1","360","D","1","D",15,"D","11","D",
"20161","03100404",28,0,"1","840","D","1","D",49,"D","10","D",
"20161","03100404",29,0,"1","510","D","1","D",70,"D","10","D",
"20161","03100404",30,0,"1","510","D","1","D",70,"D","11","D",
"20161","03100404",31,0,"1","510","D","1","D",70,"D","12","D",
"20161","03100674",19,0,"1","830","D","1","D",30,"D","13","D",
"20161","03100674",20,0,"1","360","D","1","D",10,"D","13","D",
"20161","03100734",25,0,"1","830","D","1","D",290,"D","12","D",
"20161","03100734",26,0,"1","840","D","1","D",100,"D","10","D",
"20161","03100734",27,0,"1","510","D","1","D",35,"D","10","D",
"20161","03100734",28,0,"1","510","D","1","D",35,"D","11","D",
