"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20163","03422742",33,0,"1","105","D",.,"A",450,"D","1","D"
"20163","03423932",10,0,"1","105","D",.,"A",80,"D","2","D"
"20163","03423962",46,0,"1","160","D",.,"A",720,"D","1","D"
"20163","03424632",67,0,"1","200","D",.,"A",208,"D","1","D"
"20163","03424632",68,0,"1","200","D",.,"A",180,"D","1","D"
"20163","03425222",36,0,"1","105","D",.,"A",300,"D","2","D"
"20163","03425262",22,0,"1","130","D",.,"A",1995,"D","1","D"
"20163","03426392",27,0,"1","105","D",.,"A",30,"D","2","D"
"20163","03426822",33,0,"1","105","D",.,"A",100,"D","1","D"
"20163","03426972",46,0,"1","105","D",.,"A",500,"D","1","D"
"20163","03427832",11,0,"1","105","D",.,"A",900,"D","1","D"
"20163","03440321",33,0,"1","160","D",.,"A",310,"D","1","D"
"20163","03440481",9,0,"1","105","D",.,"A",675,"D","2","D"
"20163","03440621",22,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03441061",33,0,"1","120","D",.,"A",200,"D","1","D"
"20163","03441081",26,0,"1","105","D",.,"A",489,"D","1","D"
"20163","03441431",21,0,"1","105","D",.,"A",10,"D","2","D"
"20163","03441521",34,0,"1","105","D",.,"A",303,"D","1","D"
"20163","03441821",117,0,"1","105","D",.,"A",339,"D","1","D"
"20163","03442131",10,0,"1","105","D",1,"D",0,"D","2","D"
"20163","03442961",41,0,"1","200","D",.,"A",600,"D","1","D"
"20163","03443631",25,0,"1","105","D",.,"A",90,"D","2","D"
"20163","03443851",21,0,"1","105","D",.,"A",62,"D","2","D"
"20163","03443971",21,0,"1","105","D",.,"A",215,"D","1","D"
"20163","03444054",13,0,"1","105","D",.,"A",513,"D","2","D"
"20163","03444222",20,0,"1","105","D",.,"A",600,"D","1","D"
"20163","03444291",30,0,"1","105","D",.,"A",300,"D","1","D"
"20163","03444851",18,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03445001",37,0,"1","105","D",.,"A",100,"D","2","D"
"20163","03445081",16,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03445151",24,0,"1","150","D",.,"A",900,"D","1","D"
"20163","03445301",14,0,"1","105","D",.,"A",350,"D","1","D"
"20163","03445621",28,0,"1","105","D",.,"A",60,"D","2","D"
"20163","03445621",29,0,"1","170","D",.,"A",150,"D","1","D"
"20163","03446011",34,0,"1","105","D",.,"A",375,"D","1","D"
"20163","03446051",36,0,"1","130","D",.,"A",240,"D","1","D"
"20163","03446221",27,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03446581",14,0,"1","105","D",.,"A",230,"D","1","D"
"20163","03446651",16,0,"1","105","D",.,"A",286,"D","2","D"
"20163","03447101",43,0,"1","105","D",.,"A",460,"D","1","D"
"20163","03447371",60,0,"1","105","D",.,"A",50,"D","1","D"
"20163","03448141",29,0,"1","200","D",.,"A",384,"D","1","D"
"20163","03449501",31,0,"1","120","D",.,"A",350,"D","1","D"
"20163","03449651",13,0,"1","105","D",.,"A",90,"D","2","D"
"20163","03450201",15,0,"1","105","D",.,"A",700,"D","1","D"
"20163","03460941",13,0,"1","105","D",.,"A",525,"D","1","D"
"20163","03461571",22,0,"1","105","D",.,"A",1100,"D","2","D"
"20163","03462141",11,0,"1","105","D",.,"A",400,"D","2","D"
"20163","03462311",17,0,"1","105","D",.,"A",160,"D","1","D"
"20163","03462741",29,0,"1","105","D",.,"A",35,"D","1","D"
"20163","03462761",23,0,"1","105","D",.,"A",295,"D","2","D"
"20163","03463641",16,0,"1","105","D",.,"A",160,"D","1","D"
"20163","03463671",18,0,"1","105","D",.,"A",80,"D","1","D"
"20163","03464331",15,0,"1","105","D",.,"A",500,"D","2","D"
"20163","03465001",18,0,"1","105","D",.,"A",380,"D","1","D"
"20163","03465111",26,0,"1","105","D",.,"A",175,"D","1","D"
"20163","03465121",36,0,"1","105","D",.,"A",240,"D","1","D"
"20163","03465841",9,0,"1","105","D",.,"A",205,"D","1","D"
"20163","03465881",44,0,"1","170","D",.,"A",100,"D","1","D"
"20163","03465901",13,0,"1","105","D",.,"A",385,"D","1","D"
"20163","03466501",25,0,"1","105","D",.,"A",550,"D","1","D"
"20163","03466591",15,0,"1","105","D",.,"A",110,"D","1","D"
"20163","03466771",35,0,"1","105","D",.,"A",420,"D","1","D"
"20163","03466771",36,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03466981",28,0,"1","105","D",.,"A",275,"D","1","D"
"20163","03467011",38,0,"1","105","D",.,"A",210,"D","2","D"
"20163","03467351",53,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03467621",26,0,"1","160","D",.,"A",350,"D","1","D"
"20163","03468171",39,0,"1","160","D",.,"A",1215,"D","1","D"
"20163","03468221",13,0,"1","105","D",.,"A",190,"D","2","D"
"20163","03468661",16,0,"1","105","D",.,"A",120,"D","1","D"
"20163","03468801",8,0,"1","105","D",.,"A",250,"D","1","D"
"20163","03468941",17,0,"1","105","D",.,"A",25,"D","2","D"
"20163","03469301",48,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03469411",19,0,"1","105","D",.,"A",150,"D","2","D"
"20163","03469461",42,0,"1","105","D",.,"A",40,"D","2","D"
"20163","03470251",23,0,"1","105","D",.,"A",500,"D","1","D"
"20163","03470501",31,0,"1","105","D",.,"A",480,"D","1","D"
"20163","03470591",10,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03470701",31,0,"1","105","D",.,"A",100,"D","1","D"
"20163","03470833",9,0,"1","105","D",.,"A",225,"D","1","D"
"20163","03471311",27,0,"1","105","D",.,"A",5000,"D","1","D"
"20163","03492171",14,0,"1","105","D",.,"A",211,"D","1","D"
"20163","03492371",8,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03492484",14,0,"1","105","D",.,"A",100,"D","2","D"
"20163","03493281",23,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03493461",13,0,"1","105","D",.,"A",1188,"D","1","D"
"20163","03493841",9,0,"1","170","D",.,"A",146,"F","1","D"
"20163","03493891",25,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03494241",17,0,"1","105","D",.,"A",60,"D","1","D"
"20163","03494291",27,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03494291",28,0,"1","105","D",.,"A",85,"D","1","D"
"20163","03494631",22,0,"1","105","D",.,"A",80,"D","1","D"
"20163","03495211",28,0,"1","160","D",.,"A",570,"D","1","D"
"20163","03495991",17,0,"1","105","D",.,"A",174,"D","1","D"
"20163","03495991",18,0,"1","105","D",.,"A",126,"D","1","D"
"20163","03496431",12,0,"1","160","D",.,"A",115,"D","1","D"
"20163","03497021",21,0,"1","170","D",.,"A",600,"D","1","D"
"20163","03497421",42,0,"1","105","D",.,"A",680,"D","1","D"
"20163","03497992",12,0,"1","105","D",.,"A",300,"D","1","D"
"20163","03498391",38,0,"1","105","D",.,"A",160,"D","1","D"
"20163","03498461",20,0,"1","105","D",.,"A",301,"D","1","D"
"20163","03498811",15,0,"1","105","D",.,"A",266,"D","2","D"
"20163","03499741",48,0,"1","105","D",.,"A",271,"D","1","D"
"20163","03499781",17,0,"1","105","D",.,"A",125,"D","1","D"
"20163","03499883",14,0,"1","105","D",.,"A",260,"D","1","D"
"20163","03500511",40,0,"1","105","D",.,"A",232,"D","1","D"
"20163","03500681",18,0,"1","105","D",.,"A",175,"D","2","D"
"20163","03500911",47,0,"1","105","D",.,"A",85,"D","1","D"
"20163","03500961",21,0,"1","180","D",0.95,"D",6,"D","1","D"
"20163","03501361",48,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03501481",33,0,"1","105","D",.,"A",500,"D","1","D"
"20163","03501501",27,0,"1","105","D",.,"A",45,"D","2","D"
"20163","03501521",32,0,"1","105","D",.,"A",105,"D","1","D"
"20163","03501581",22,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03501581",23,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03502211",20,0,"1","105","D",.,"A",80,"D","1","D"
