NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03566514,08,2017,980000,2,,5,5285.0833
03566514,09,2017,980000,2,,1,5285.0833
03566514,09,2017,980000,2,,2,5285.0833
03566514,09,2017,980000,2,,3,5285.0833
03566514,09,2017,980000,2,,4,5285.0833
03566514,09,2017,980000,2,,5,5285.0833
03566534,07,2017,800940,2,,1,1114.5
03566534,07,2017,800940,2,,2,1114.5
03566534,07,2017,800940,2,,3,1114.5
03566534,07,2017,800940,2,,4,1114.5
03566534,07,2017,800940,2,,5,1114.5
03566534,08,2017,800940,2,,1,1114.5
03566534,08,2017,800940,2,,2,1114.5
03566534,08,2017,800940,2,,3,1114.5
03566534,08,2017,800940,2,,4,1114.5
03566534,08,2017,800940,2,,5,1114.5
03566534,09,2017,800940,2,,1,1114.5
03566534,09,2017,800940,2,,2,1114.5
03566534,09,2017,800940,2,,3,1114.5
03566534,09,2017,800940,2,,4,1114.5
03566534,09,2017,800940,2,,5,1114.5
03566534,07,2017,900000,2,,1,15297.9167
03566534,07,2017,900000,2,,2,15297.9167
03566534,07,2017,900000,2,,3,15297.9167
03566534,07,2017,900000,2,,4,15297.9167
03566534,07,2017,900000,2,,5,15297.9167
03566534,08,2017,900000,2,,1,15297.9167
03566534,08,2017,900000,2,,2,15297.9167
03566534,08,2017,900000,2,,3,15297.9167
03566534,08,2017,900000,2,,4,15297.9167
03566534,08,2017,900000,2,,5,15297.9167
03566534,09,2017,900000,2,,1,15297.9167
03566534,09,2017,900000,2,,2,15297.9167
03566534,09,2017,900000,2,,3,15297.9167
03566534,09,2017,900000,2,,4,15297.9167
03566534,09,2017,900000,2,,5,15297.9167
03566534,07,2017,900140,2,,1,291.6667
03566534,07,2017,900140,2,,2,291.6667
03566534,07,2017,900140,2,,3,291.6667
03566534,07,2017,900140,2,,4,291.6667
03566534,07,2017,900140,2,,5,291.6667
03566534,08,2017,900140,2,,1,291.6667
03566534,08,2017,900140,2,,2,291.6667
03566534,08,2017,900140,2,,3,291.6667
03566534,08,2017,900140,2,,4,291.6667
03566534,08,2017,900140,2,,5,291.6667
03566534,09,2017,900140,2,,1,291.6667
03566534,09,2017,900140,2,,2,291.6667
03566534,09,2017,900140,2,,3,291.6667
03566534,09,2017,900140,2,,4,291.6667
03566534,09,2017,900140,2,,5,291.6667
03566534,07,2017,900180,2,T,1,5670.7829
03566534,07,2017,900180,2,T,2,5670.7829
03566534,07,2017,900180,2,T,3,5670.7829
03566534,07,2017,900180,2,T,4,5670.7829
03566534,07,2017,900180,2,T,5,5670.7829
03566534,08,2017,900180,2,T,1,5670.7829
03566534,08,2017,900180,2,T,2,5670.7829
03566534,08,2017,900180,2,T,3,5670.7829
03566534,08,2017,900180,2,T,4,5670.7829
03566534,08,2017,900180,2,T,5,5670.7829
03566534,09,2017,900180,2,T,1,5670.7829
03566534,09,2017,900180,2,T,2,5670.7829
03566534,09,2017,900180,2,T,3,5670.7829
03566534,09,2017,900180,2,T,4,5670.7829
03566534,09,2017,900180,2,T,5,5670.7829
03566534,07,2017,980000,2,T,1,21260.3663
03566534,07,2017,980000,2,T,2,21260.3663
03566534,07,2017,980000,2,T,3,21260.3663
03566534,07,2017,980000,2,T,4,21260.3663
03566534,07,2017,980000,2,T,5,21260.3663
03566534,08,2017,980000,2,T,1,21260.3663
03566534,08,2017,980000,2,T,2,21260.3663
03566534,08,2017,980000,2,T,3,21260.3663
03566534,08,2017,980000,2,T,4,21260.3663
03566534,08,2017,980000,2,T,5,21260.3663
03566534,09,2017,980000,2,T,1,21260.3663
03566534,09,2017,980000,2,T,2,21260.3663
03566534,09,2017,980000,2,T,3,21260.3663
03566534,09,2017,980000,2,T,4,21260.3663
03566534,09,2017,980000,2,T,5,21260.3663
03566544,07,2017,800940,2,,1,971.5833
03566544,07,2017,800940,2,,2,971.5833
03566544,07,2017,800940,2,,3,971.5833
03566544,07,2017,800940,2,,4,971.5833
03566544,07,2017,800940,2,,5,971.5833
03566544,08,2017,800940,2,,1,971.5833
03566544,08,2017,800940,2,,2,971.5833
03566544,08,2017,800940,2,,3,971.5833
03566544,08,2017,800940,2,,4,971.5833
03566544,08,2017,800940,2,,5,971.5833
03566544,09,2017,800940,2,,1,971.5833
03566544,09,2017,800940,2,,2,971.5833
03566544,09,2017,800940,2,,3,971.5833
03566544,09,2017,800940,2,,4,971.5833
03566544,09,2017,800940,2,,5,971.5833
