"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20163","03409492",65,0,"1",.,"A",165,"D",.,"A",.,"A",.,"A",.,"A",540,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409522",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",390,"D",.,"A",15,"D",.,"A",.,"A"
"20163","03409532",61,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",753,"D",.,"A",.,"A",35,"D",.,"A"
"20163","03409552",25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409562",24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"F",.,"A",.,"A",.,"A",.,"A"
"20163","03409592",48,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",555,"D",.,"A",.,"A",.,"A",30,"D"
"20163","03409612",31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",375,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409642",25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409672",17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",24,"D"
"20163","03409692",23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",840,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409714",49,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",35,"D",.,"A"
"20163","03409733",44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409752",33,0,"1",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",90,"D",.,"A"
"20163","03409802",28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409832",46,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",150,"D",.,"A",.,"A",.,"A"
"20163","03409852",11,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409872",36,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409922",23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409932",25,0,"1",.,"A",210,"D",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",50,"D",.,"A",.,"A"
"20163","03409952",26,0,"1",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",600,"D",55,"F",.,"A",50,"D"
"20163","03409962",12,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20163","03409992",27,0,"1",31,"D",.,"A",.,"A",.,"A",.,"A",.,"A",330,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410002",25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2100,"D",.,"A",120,"D",.,"A",.,"A"
"20163","03410012",28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1050,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410052",111,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",690,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410074",14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410082",33,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410092",37,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03410132",22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",105,"D",.,"A",.,"A",.,"A",.,"A"
