"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYD","CLOTHYD_","CLSVGFTC","CLSV_FTC","CLOTHMOD","CLOT_MOD","CLSRVCX","CLSRVCX_","CLOTHD1","CLOTHD1_","CLOTHD2","CLOTHD2_","CLOTHD3","CLOTHD3_","CLOTHD4","CLOTHD4_","CLOTHD5","CLOTHD5_","CLOTHD6","CLOTHD6_","CLOTHD7","CLOTHD7_","CLOTHD8","CLOTHD8_","CLOTHD9","CLOTHD9_"
"20161","03237984",4,0,"1","470","D","1","D","12","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03238083",2,0,"2","460","D","1","D","12","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03238223",3,0,"1","450","D","1","D","01","D",140,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03249382",3,0,"1","450","D","1","D","11","D",64,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03249492",16,0,"1","470","D","1","D","10","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03250412",10,0,"1","450","D","1","D","12","D",13,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03250572",3,0,"1","450","D","1","D","12","D",16,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03250812",4,0,"2","480","D","1","D","10","D",440,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03252062",5,0,"1","450","D","1","D","11","D",42,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03254192",20,0,"1","470","D","1","D","12","D",22,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03255862",7,0,"1","450","D","1","D","12","D",12,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03256162",9,0,"1","450","D","1","D","11","D",32,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03256202",3,0,"1","450","D","1","D","11","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03256792",6,0,"1","470","D","1","D","12","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03257212",25,0,"1","450","D","1","D","10","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03257612",4,0,"1","450","D","1","D","12","D",88,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258132",2,0,"1","450","D","1","D","12","D",30,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
