"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDPCARY","MEDP_ARY","MEDPGFTC","MEDP_FTC","MEDPMTMO","MEDP_TMO","MEDPMTX","MEDPMTX_","MEDPCY1","MEDPCY1_","MEDPCY2","MEDPCY2_","MEDPCY3","MEDPCY3_","MEDPCY4","MEDPCY4_","MEDPCY5","MEDPCY5_","MEDPCY6","MEDPCY6_","MEDPCY7","MEDPCY7_","MEDPCY8","MEDPCY8_","MEDPCY9","MEDPCY9_","MEDPPRNT","MEDP_RNT"
"20151","02794445",21,0,"1","620","D","1","D","13","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794715",12,0,"1","330","D","1","D","12","D",250,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794715",13,0,"1","620","D","1","D","12","D",3,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794935",7,0,"1","620","D","1","D","13","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794955",15,0,"1","420","D","1","D","11","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794955",16,0,"1","620","D","1","D","13","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794975",17,0,"1","420","D","1","D","01","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02794975",18,0,"1","620","D","1","D","13","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795105",13,0,"1","200","D","1","D","01","D",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795165",44,0,"1","200","D","1","D","12","D",118,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795165",45,0,"1","120","D","1","D","12","D",189,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795165",46,0,"1","410","D","1","D","01","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795165",47,0,"1","410","D","1","D","12","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795165",48,0,"1","410","D","1","D","11","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795315",15,0,"1","420","D","1","D","12","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795445",11,0,"1","420","D","1","D","12","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795445",12,0,"1","200","D","1","D","01","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795455",21,0,"1","200","D","1","D","12","D",76,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795455",22,0,"1","200","D","1","D","01","D",287,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795465",31,0,"1","110","D","1","D","01","D",47,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795465",32,0,"1","120","D","1","D","01","D",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795465",33,0,"1","620","D","1","D","12","D",16,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795515",19,0,"1","420","D","1","D","01","D",1578,"T",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795615",29,0,"1","620","D","1","D","13","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795695",13,0,"1","420","D","1","D","01","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795695",14,0,"1","420","D","1","D","11","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795695",15,0,"1","200","D","1","D","12","D",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795695",16,0,"2","410","D","1","D","11","D",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795715",22,0,"1","410","D","1","D","11","D",59,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795715",23,0,"1","420","D","1","D","12","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02795715",24,0,"1","620","D","1","D","13","D",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796085",25,0,"1","130","D","1","D","01","D",.,"H","120","D","110","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796085",25,1,"1","120","D","1","D","01","D",109,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796085",25,2,"1","110","D","1","D","01","D",41,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796085",26,0,"1","420","D","1","D","12","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796085",27,0,"1","620","D","1","D","13","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796225",7,0,"1","620","D","1","D","01","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",38,0,"1","110","D","1","D","01","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",39,0,"1","330","D","1","D","01","D",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",40,0,"1","420","D","1","D","12","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",41,0,"1","510","D","1","D","01","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",42,0,"1","620","D","1","D","13","D",33,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",43,0,"1","620","D","1","D","11","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",44,0,"1","620","D","1","D","12","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796245",45,0,"2","620","D","1","D","11","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796265",19,0,"1","620","D","1","D","12","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796275",16,0,"1","200","D","1","D","12","D",148,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796465",9,0,"1","420","D","1","D","12","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796465",10,0,"1","420","D","1","D","01","D",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796465",11,0,"1","620","D","1","D","13","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796485",20,0,"1","420","D","1","D","12","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796485",21,0,"1","620","D","1","D","13","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796555",32,0,"1","110","D","1","D","01","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796555",33,0,"1","620","D","1","D","01","D",33,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796565",16,0,"1","420","D","1","D","12","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796565",17,0,"1","620","D","1","D","13","D",12,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796585",8,0,"1","620","D","1","D","13","D",32,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796595",39,0,"1","200","D","1","D","01","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796595",40,0,"1","200","D","1","D","11","D",105,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02796595",41,0,"1","620","D","1","D","11","D",92,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
