"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X","TELBLPRS","TELB_PRS"
"20152","02878735",34,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",15,"F",0,"F",15,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",32,"F",47,"F",32,"F",.,"A",.,"A",.,"A","2","D"
"20152","02878755",26,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",43,"D",43,"D",43,"D",.,"A",.,"A",.,"A",,"A"
"20152","02878755",27,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",53,"D",53,"D",53,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900554",49,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",106,"D",106,"D",106,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02900574",36,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",130,"D",130,"D",130,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900594",17,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",75,"D",75,"D",75,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900594",18,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",50,"F",50,"F",45,"F",100,"F",100,"F",80,"F",10,"F",10,"F",35,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02900654",15,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900654",16,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900744",44,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",68,"D",68,"D",68,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02900834",29,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",125,"D",125,"D",125,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900844",6,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02900854",43,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",59,"F",59,"F",59,"F",95,"F",95,"F",95,"F",39,"F",39,"F",39,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02900854",44,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",44,"F",44,"F",44,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",44,"F",44,"F",44,"F",.,"A",.,"A",.,"A","2","D"
"20152","02900884",21,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",30,"F",33,"F",33,"F",45,"F",87,"F",87,"F",75,"F",30,"F",30,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02900884",22,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",180,"D",180,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900904",58,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",90,"D",90,"D",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",369,"F",103,"F",60,"F",.,"A",.,"A",.,"A","1","D"
"20152","02900924",45,0,"1",.,"A",,"A","2","D","2","D","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",90,"D",.,"A",.,"A",.,"A",.,"A",,"A"
"20152","02900924",46,0,"1",.,"A",,"A","2","D","2","D","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",70,"D",.,"A",.,"A",.,"A",,"A"
"20152","02900994",22,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",,"A"
"20152","02901004",10,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A",,"A"
