"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20141",2758732,17,0,"5","01","D","100","D",0.0525,"D",604198,"T",30,"D",5124,"T","3","D","4","D","5","D",,"A",989,"D",736,"D",739,"D",742,"D",2025,"D",2022,"D",2019,"D",,"A","02","D","2009","D","1","D",,"A",552549,"T",551756,"T",551375,"T","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758842,28,0,"5","01","D","100","D",0.0784,"F",207572,"F",30,"F",1800,"F","3","F","4","F",,"A",,"A",300,"F",474,"F",477,"F",480,"F",1026,"F",1023,"F",1020,"F",,"A","07","F","1998","F","1","F",,"A",157087,"F",156613,"F",156136,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758932,26,0,"5","01","D","100","D",0.0425,"D",95000,"D",30,"D",633,"D",,"B",,"B",,"B",,"B",166,"D",173,"D",173,"D",174,"D",294,"D",294,"D",293,"D",,"A","04","D","2007","D","1","D","112013","D",83124,"D",82951,"D",82778,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759045,11,0,"5","02","D","400","D",0.0784,"D",22000,"D",15,"D",266,"D",,"B",,"B",,"B",,"B",58,"D",84,"D",85,"D",86,"D",124,"D",123,"D",122,"D",,"A","05","D","2010","D","1","D",,"A",18906,"D",18821,"D",18736,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759052,10,0,"5","01","D","100","D",0.07,"D",47115,"D",25,"D",333,"D",,"A",,"A",,"A",,"A",0,"D",97,"D",98,"D",98,"D",236,"D",235,"D",235,"D",,"A","07","D","2006","D","1","D",,"A",40451,"D",40354,"D",40256,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759122,15,0,"5","01","D","100","D",0.042,"D",210000,"D",30,"D",1500,"D","3","D","4","D","5","D",,"A",473,"D",299,"D",300,"D",301,"D",728,"D",727,"D",726,"D",,"A","04","D","2013","D","1","D",,"A",207934,"D",207635,"D",207335,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759152,21,0,"5","01","D","100","D",0.0784,"D",134230,"D",30,"D",1225,"D","3","D","4","D",,"A",,"A",255,"D",105,"D",106,"D",107,"D",865,"D",864,"D",863,"D",,"A","04","D","2012","D","1","D",,"A",132355,"D",132249,"D",132143,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759172,30,0,"5","01","D","100","D",0.0468,"D",245000,"D",20,"D",2650,"D","3","D","4","D","5","D",,"A",1076,"D",1631,"T",1642,"T",1641,"T",216,"D",211,"D",206,"D",,"A","01","D","1997","D","1","D",,"A",55455,"D",54098,"D",52735,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759242,13,0,"5","01","D","100","D",0.0625,"F",165000,"F",30,"F",1300,"F","3","F","4","F",,"A",,"A",284,"F",405,"F",407,"F",409,"F",611,"F",609,"F",607,"F",,"A","08","F","1998","F","1","F",,"A",117264,"F",116859,"F",116451,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759272,13,0,"5","01","D","100","D",0.0784,"D",75141,"D",30,"D",676,"D","3","D","4","D",,"A",,"A",133,"D",83,"D",83,"D",84,"D",460,"D",460,"D",459,"D",,"A","12","D","2007","D","1","D",,"A",70455,"D",70373,"D",70289,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2759292,12,0,"1","01","D","100","D",0.043,"D",94000,"D",30,"D",551,"D","3","D",,"A",,"A",,"A",86,"D",136,"D",136,"D",137,"D",329,"D",329,"D",328,"D",,"A","07","D","2012","D","1","D",,"A",91893,"D",91758,"D",91621,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
