"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20131",2517805,67,0,"1","420","D","12","D",130,"D",,"A",,"A",,"A",,"A"
"20131",2518135,78,0,"1","410","D","12","D",15,"D",,"A",,"A",,"A",,"A"
"20131",2518135,79,0,"1","420","D","11","D",38,"D",,"A",,"A",,"A",,"A"
"20131",2518135,80,0,"1","420","D","12","D",650,"D",,"A",,"A",,"A",,"A"
"20131",2518315,84,0,"1","400","D","12","D",16,"D",,"A",,"A",,"A",,"A"
"20131",2518315,85,0,"1","410","D","12","D",15,"D",,"A",,"A",,"A",,"A"
"20131",2518385,68,0,"1","400","D","12","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2518605,52,0,"1","410","D","12","D",48,"D",,"A",,"A",,"A",,"A"
"20131",2518655,61,0,"1","420","D","10","D",30,"D",,"A",,"A",,"A",,"A"
"20131",2518655,62,0,"2","420","D","10","D",30,"D",,"A",,"A",,"A",,"A"
"20131",2518695,53,0,"1","410","D","10","D",100,"D",,"A",,"A",,"A",,"A"
"20131",2518835,87,0,"1","420","D","12","D",170,"D",,"A",,"A",,"A",,"A"
"20131",2518935,48,0,"1","420","D","10","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2518965,51,0,"1","420","D","11","D",20,"F",,"A",,"A",,"A",,"A"
"20131",2519245,42,0,"1","420","D","12","D",60,"D",,"A",,"A",,"A",,"A"
"20131",2519245,43,0,"2","420","D","10","D",65,"D",,"A",,"A",,"A",,"A"
"20131",2519435,46,0,"1","400","D","11","D",73,"D",,"A",,"A",,"A",,"A"
"20131",2519465,43,0,"1","420","D","11","D",98,"D",,"A",,"A",,"A",,"A"
"20131",2519475,60,0,"1","420","D","12","D",122,"D",,"A",,"A",,"A",,"A"
"20131",2519595,47,0,"1","420","D","10","D",140,"D",,"A",,"A",,"A",,"A"
"20131",2519875,71,0,"1","420","D","11","D",90,"D",,"A",,"A",,"A",,"A"
"20131",2519935,82,0,"1","420","D","11","D",45,"D",,"A",,"A",,"A",,"A"
"20131",2520095,56,0,"2","420","D","10","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2520165,52,0,"1","400","D","12","D",32,"D",,"A",,"A",,"A",,"A"
"20131",2520165,53,0,"1","410","D","12","D",16,"D",,"A",,"A",,"A",,"A"
"20131",2520185,53,0,"1","420","D","12","D",77,"D",,"A",,"A",,"A",,"A"
"20131",2520255,34,0,"1","420","D","10","D",65,"D",,"A",,"A",,"A",,"A"
"20131",2520255,35,0,"1","420","D","11","D",65,"D",,"A",,"A",,"A",,"A"
"20131",2520255,36,0,"2","420","D","10","D",120,"D",,"A",,"A",,"A",,"A"
"20131",2520265,65,0,"1","420","D","12","D",65,"D",,"A",,"A",,"A",,"A"
"20131",2520345,80,0,"1","420","D","11","D",86,"D",,"A",,"A",,"A",,"A"
"20131",2520425,148,0,"1","430","D","11","D",.,"H","425","D","415","D",,"A",,"A"
"20131",2520425,148,1,"1","420","D","11","D",60,"E",,"A",,"A",,"A",,"A"
"20131",2520425,149,0,"1","420","D","12","D",24,"D",,"A",,"A",,"A",,"A"
"20131",2520465,96,0,"1","420","D","12","D",39,"D",,"A",,"A",,"A",,"A"
"20131",2520485,40,0,"2","420","D","10","D",24,"D",,"A",,"A",,"A",,"A"
"20131",2520765,31,0,"1","420","D","10","D",130,"D",,"A",,"A",,"A",,"A"
"20131",2520915,61,0,"1","400","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20131",2521015,69,0,"1","410","D","10","D",13,"D",,"A",,"A",,"A",,"A"
"20131",2521015,70,0,"2","420","D","10","D",205,"D",,"A",,"A",,"A",,"A"
"20131",2521055,44,0,"1","420","D","11","D",160,"D",,"A",,"A",,"A",,"A"
"20131",2521055,45,0,"1","420","D","12","D",150,"D",,"A",,"A",,"A",,"A"
"20131",2521095,102,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2521095,103,0,"1","420","D","12","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2521105,50,0,"1","410","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2521165,53,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2521465,68,0,"1","420","D","11","D",580,"D",,"A",,"A",,"A",,"A"
"20131",2521635,134,0,"1","420","D","12","D",256,"D",,"A",,"A",,"A",,"A"
"20131",2521655,51,0,"1","420","D","11","D",84,"D",,"A",,"A",,"A",,"A"
"20131",2522045,113,0,"1","420","D","10","D",98,"D",,"A",,"A",,"A",,"A"
"20131",2522095,42,0,"1","420","D","11","D",55,"D",,"A",,"A",,"A",,"A"
"20131",2522165,59,0,"1","420","D","11","D",120,"D",,"A",,"A",,"A",,"A"
"20131",2522355,53,0,"1","410","D","10","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2522435,47,0,"1","400","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2522435,48,0,"2","410","D","10","D",39,"D",,"A",,"A",,"A",,"A"
"20131",2522575,31,0,"1","410","D","10","D",55,"D",,"A",,"A",,"A",,"A"
"20131",2522575,32,0,"1","420","D","10","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2522615,84,0,"1","420","D","12","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2522625,43,0,"1","420","D","11","D",124,"D",,"A",,"A",,"A",,"A"
"20131",2522835,53,0,"1","420","D","01","D",78,"D",,"A",,"A",,"A",,"A"
"20131",2522845,41,0,"1","420","D","01","D",280,"D",,"A",,"A",,"A",,"A"
"20131",2522885,55,0,"2","420","D","11","D",42,"D",,"A",,"A",,"A",,"A"
"20131",2522895,26,0,"1","420","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2522895,27,0,"1","400","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2522915,54,0,"1","420","D","01","D",36,"D",,"A",,"A",,"A",,"A"
