"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20161","03102294",2,0,"1","160","D","13","D",185,"D"
"20161","03102354",2,0,"1","160","D","12","D",1500,"D"
"20161","03102524",4,0,"1","160","D","12","D",800,"D"
"20161","03102524",5,0,"1","160","D","12","D",900,"D"
"20161","03102524",6,0,"1","160","D","10","D",1500,"D"
"20161","03102664",6,0,"1","170","D","13","D",5,"D"
"20161","03102824",4,0,"1","150","D","13","D",150,"D"
"20161","03102904",5,0,"1","150","D","13","D",150,"D"
"20161","03103124",2,0,"1","170","D","12","D",1200,"D"
"20161","03103124",3,0,"1","160","D","12","D",5000,"D"
"20161","03103284",3,0,"1","150","D","13","D",80,"D"
"20161","03103454",6,0,"1","170","D","12","D",100,"D"
"20161","03103624",3,0,"1","160","D","12","D",38,"D"
"20161","03103624",4,0,"2","170","D","10","D",20,"D"
"20161","03103714",1,0,"1","170","D","12","D",1500,"D"
"20161","03103714",2,0,"1","150","D","13","D",100,"D"
"20161","03103734",12,0,"1","130","D","13","D",25,"D"
"20161","03103734",13,0,"1","150","D","11","D",1000,"D"
"20161","03103734",14,0,"1","150","D","10","D",1000,"D"
"20161","03103734",15,0,"1","150","D","12","D",1500,"D"
"20161","03103734",16,0,"1","160","D","11","D",30,"D"
"20161","03103834",1,0,"1","160","D","13","D",20,"D"
"20161","03103834",2,0,"1","160","D","13","D",20,"D"
"20161","03104104",4,0,"1","150","D","13","D",20,"D"
"20161","03104204",7,0,"1","150","D","13","D",620,"D"
"20161","03104244",13,0,"1","170","D","12","D",100,"D"
"20161","03104244",14,0,"2","160","D","10","D",20,"D"
"20161","03104254",14,0,"1","130","D","10","D",100,"D"
"20161","03104254",15,0,"1","180","D","12","D",4000,"D"
"20161","03104314",4,0,"1","160","D","12","D",300,"D"
"20161","03104334",1,0,"1","160","D","12","D",25,"D"
"20161","03104464",3,0,"1","160","D","12","D",450,"D"
"20161","03104604",3,0,"1","150","D","13","D",110,"D"
"20161","03104624",2,0,"1","160","D","13","D",80,"D"
"20161","03104694",1,0,"1","150","D","13","D",400,"D"
"20161","03104694",2,0,"1","160","D","13","D",177,"F"
"20161","03104784",1,0,"1","120","D","13","D",613,"D"
"20161","03104784",2,0,"1","160","D","13","D",5,"D"
"20161","03104834",3,0,"1","150","D","13","D",50,"D"
"20161","03104844",4,0,"1","150","D","13","D",20,"D"
"20161","03104854",1,0,"1","110","D","13","D",300,"D"
"20161","03104864",7,0,"1","160","D","10","D",250,"D"
"20161","03104914",5,0,"1","170","D","13","D",5,"D"
"20161","03104914",6,0,"1","110","D","13","D",600,"D"
"20161","03105034",13,0,"1","170","D","11","D",245,"D"
"20161","03105204",3,0,"1","150","D","13","D",50,"D"
"20161","03105224",9,0,"1","170","D","12","D",200,"D"
"20161","03105284",6,0,"1","170","D","12","D",150,"D"
"20161","03105314",2,0,"1","170","D","12","D",350,"D"
"20161","03105314",3,0,"1","150","D","13","D",75,"D"
"20161","03105324",2,0,"1","160","D","13","D",333,"D"
"20161","03105354",18,0,"1","170","D","12","D",300,"D"
"20161","03105354",19,0,"1","150","D","13","D",50,"D"
"20161","03105394",3,0,"1","170","D","12","D",2000,"D"
"20161","03105394",4,0,"1","150","D","13","D",100,"D"
"20161","03105574",4,0,"1","170","D","12","D",20,"D"
"20161","03105574",5,0,"1","170","D","12","D",520,"D"
"20161","03105574",6,0,"1","150","D","10","D",320,"D"
"20161","03105574",7,0,"1","150","D","11","D",320,"D"
"20161","03105574",8,0,"1","150","D","12","D",1100,"D"
"20161","03105754",3,0,"2","150","D","10","D",30,"D"
"20161","03105764",9,0,"1","170","D","12","D",150,"D"
"20161","03105854",4,0,"1","160","D","13","D",50,"D"
"20161","03105854",5,0,"1","160","D","12","D",200,"D"
"20161","03105914",9,0,"1","160","D","13","D",30,"D"
"20161","03105994",4,0,"1","150","D","11","D",150,"D"
"20161","03105994",5,0,"1","150","D","12","D",200,"D"
"20161","03106004",1,0,"1","150","D","13","D",340,"D"
"20161","03106074",4,0,"1","170","D","12","D",250,"D"
"20161","03106124",3,0,"1","150","D","13","D",55,"D"
"20161","03106124",4,0,"1","160","D","13","D",40,"D"
"20161","03106224",3,0,"1","150","D","13","D",20,"D"
"20161","03106294",1,0,"1","170","D","11","D",50,"D"
"20161","03106314",4,0,"1","170","D","11","D",160,"D"
"20161","03106324",7,0,"1","160","D","10","D",50,"D"
"20161","03106354",4,0,"1","100","D","13","D",1100,"D"
"20161","03106384",6,0,"1","170","D","12","D",100,"D"
"20161","03106384",7,0,"1","170","D","12","D",25,"D"
"20161","03106384",8,0,"1","150","D","13","D",100,"D"
"20161","03106394",3,0,"1","150","D","13","D",10,"D"
"20161","03106444",5,0,"1","170","D","13","D",500,"D"
"20161","03106504",3,0,"1","160","D","12","D",10,"D"
"20161","03106504",4,0,"1","150","D","12","D",2,"D"
"20161","03106564",5,0,"1","160","D","12","D",50,"D"
"20161","03106594",2,0,"1","170","D","12","D",1000,"D"
"20161","03106614",1,0,"1","160","D","13","D",5,"D"
"20161","03106664",24,0,"1","150","D","12","D",20,"D"
"20161","03106664",25,0,"1","160","D","12","D",100,"D"
"20161","03106684",5,0,"1","150","D","13","D",100,"D"
"20161","03106814",6,0,"1","170","D","12","D",400,"D"
"20161","03106814",7,0,"1","150","D","12","D",150,"D"
"20161","03106864",5,0,"1","170","D","12","D",70,"D"
"20161","03106864",6,0,"1","170","D","12","D",100,"D"
"20161","03106864",7,0,"1","150","D","13","D",600,"D"
"20161","03107004",5,0,"1","160","D","13","D",20,"D"
"20161","03107004",6,0,"1","160","D","13","D",78,"D"
"20161","03107004",7,0,"1","150","D","10","D",110,"D"
"20161","03107004",8,0,"1","150","D","11","D",213,"D"
"20161","03107004",9,0,"1","150","D","12","D",137,"D"
"20161","03107034",5,0,"1","150","D","13","D",100,"D"
"20161","03107064",3,0,"1","160","D","10","D",15,"D"
"20161","03107064",4,0,"1","160","D","12","D",40,"D"
"20161","03107174",5,0,"1","170","D","13","D",50,"D"
"20161","03107274",5,0,"1","170","D","12","D",100,"D"
"20161","03107304",2,0,"1","150","D","13","D",800,"D"
"20161","03107364",3,0,"1","150","D","13","D",100,"D"
"20161","03107374",1,0,"1","160","D","13","D",489,"F"
"20161","03107384",10,0,"1","170","D","12","D",300,"D"
"20161","03107384",11,0,"1","160","D","13","D",50,"D"
"20161","03107384",12,0,"1","160","D","13","D",50,"D"
"20161","03107384",13,0,"1","160","D","13","D",50,"D"
"20161","03107384",14,0,"1","150","D","12","D",40,"D"
"20161","03107434",4,0,"1","150","D","13","D",200,"D"
"20161","03107604",24,0,"1","170","D","13","D",100,"D"
"20161","03107604",25,0,"1","130","D","12","D",50,"D"
"20161","03107604",26,0,"1","150","D","12","D",500,"D"
"20161","03107604",27,0,"1","150","D","13","D",520,"D"
"20161","03107604",28,0,"1","160","D","13","D",100,"D"
"20161","03107604",29,0,"2","170","D","10","D",30,"D"
"20161","03107604",30,0,"2","170","D","10","D",217,"D"
"20161","03107634",3,0,"1","150","D","13","D",50,"D"
"20161","03107664",6,0,"1","170","D","10","D",200,"D"
"20161","03107664",7,0,"1","170","D","11","D",200,"D"
"20161","03107664",8,0,"1","110","D","13","D",2150,"D"
"20161","03107714",1,0,"1","170","D","13","D",30,"D"
"20161","03107714",2,0,"1","150","D","13","D",130,"D"
"20161","03107734",1,0,"1","100","D","13","D",300,"D"
"20161","03107984",4,0,"1","160","D","13","D",125,"D"
"20161","03108074",2,0,"1","170","D","12","D",600,"D"
"20161","03108074",3,0,"1","150","D","13","D",350,"D"
