"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20164","03468882",47,0,"1","420","D","09","D",135,"D",,"A",,"A",,"A",,"A"
"20164","03468892",19,0,"1","400","D","09","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03468892",20,0,"1","420","D","10","D",81,"D",,"A",,"A",,"A",,"A"
"20164","03468892",21,0,"1","410","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03468942",44,0,"2","400","D","08","D",54,"D",,"A",,"A",,"A",,"A"
"20164","03469172",58,0,"1","420","D","10","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03469203",65,0,"1","400","D","08","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03469203",66,0,"1","420","D","08","D",300,"D",,"A",,"A",,"A",,"A"
"20164","03469302",53,0,"2","420","D","08","D",273,"D",,"A",,"A",,"A",,"A"
"20164","03469312",31,0,"1","420","D","10","D",250,"D",,"A",,"A",,"A",,"A"
"20164","03469352",49,0,"1","410","D","10","D",45,"D",,"A",,"A",,"A",,"A"
"20164","03469352",50,0,"1","420","D","10","D",290,"D",,"A",,"A",,"A",,"A"
"20164","03469382",33,0,"1","420","D","08","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03469402",25,0,"1","410","D","08","D",21,"D",,"A",,"A",,"A",,"A"
"20164","03469412",36,0,"1","410","D","09","D",27,"D",,"A",,"A",,"A",,"A"
"20164","03469412",37,0,"1","410","D","09","D",27,"D",,"A",,"A",,"A",,"A"
"20164","03469412",38,0,"1","410","D","09","D",27,"D",,"A",,"A",,"A",,"A"
"20164","03469592",63,0,"1","420","D","10","D",160,"D",,"A",,"A",,"A",,"A"
"20164","03469662",35,0,"1","420","D","09","D",85,"D",,"A",,"A",,"A",,"A"
"20164","03469872",52,0,"1","420","D","09","D",155,"D",,"A",,"A",,"A",,"A"
"20164","03469872",53,0,"1","420","D","08","D",121,"D",,"A",,"A",,"A",,"A"
"20164","03469932",14,0,"1","405","D","10","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03469982",38,0,"2","400","D","08","D",36,"D",,"A",,"A",,"A",,"A"
"20164","03469982",39,0,"2","420","D","08","D",34,"D",,"A",,"A",,"A",,"A"
"20164","03470082",53,0,"1","400","D","10","D",32,"D",,"A",,"A",,"A",,"A"
"20164","03470122",57,0,"1","410","D","10","D",35,"D",,"A",,"A",,"A",,"A"
"20164","03470142",51,0,"1","430","D","09","D",.,"H","415","D","410","D",,"A",,"A"
"20164","03470142",51,1,"1","420","D","09","D",99,"E",,"A",,"A",,"A",,"A"
"20164","03470142",51,2,"1","410","D","09","D",20,"E",,"A",,"A",,"A",,"A"
"20164","03470242",20,0,"1","420","D","10","D",89,"D",,"A",,"A",,"A",,"A"
"20164","03470412",40,0,"1","420","D","08","D",45,"D",,"A",,"A",,"A",,"A"
"20164","03470512",37,0,"1","430","D","10","D",.,"H","415","D","400","D",,"A",,"A"
"20164","03470512",37,1,"1","420","D","10","D",36,"E",,"A",,"A",,"A",,"A"
"20164","03470512",37,2,"1","400","D","10","D",18,"E",,"A",,"A",,"A",,"A"
"20164","03470572",41,0,"1","420","D","09","D",92,"D",,"A",,"A",,"A",,"A"
"20164","03470602",28,0,"1","410","D","09","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03470642",59,0,"1","410","D","08","D",50,"D",,"A",,"A",,"A",,"A"
"20164","03470642",60,0,"1","420","D","08","D",152,"D",,"A",,"A",,"A",,"A"
"20164","03470662",31,0,"1","410","D","10","D",20,"D",,"A",,"A",,"A",,"A"
"20164","03470902",109,0,"1","420","D","10","D",15,"D",,"A",,"A",,"A",,"A"
"20164","03470962",42,0,"1","430","D","10","D",.,"H","415","D","410","D",,"A",,"A"
"20164","03470962",42,1,"1","420","D","10","D",70,"E",,"A",,"A",,"A",,"A"
"20164","03470962",42,2,"1","410","D","10","D",15,"E",,"A",,"A",,"A",,"A"
"20164","03471232",35,0,"1","405","D","10","D",125,"D",,"A",,"A",,"A",,"A"
"20164","03471282",61,0,"1","430","D","09","D",.,"H","415","D","405","D","410","D",,"A"
"20164","03471282",61,1,"1","420","D","09","D",7,"E",,"A",,"A",,"A",,"A"
